Vin,Vout_FF,Vout_FS,Vout_SF,Vout_SS,Vout_TT(Reference_corner)
0.248,0.172300982,0.172427719,0.169078158,0.164117794,0.171563308
0.249,0.173023968,0.173149257,0.169764533,0.164797231,0.17227335
0.25,0.173747449,0.1738713,0.170451487,0.165477279,0.172983922
0.251,0.174471425,0.174593845,0.171139015,0.166157935,0.173695019
0.252,0.17519589,0.175316888,0.171827116,0.166839195,0.174406639
0.253,0.175920842,0.176040428,0.172515787,0.167521056,0.175118779
0.254,0.176646279,0.17676446,0.173205024,0.168203515,0.175831436
0.255,0.177372197,0.177488981,0.173894824,0.168886569,0.176544607
0.256,0.178098593,0.178213989,0.174585186,0.169570216,0.177258289
0.257,0.178825464,0.178939481,0.175276105,0.170254451,0.177972478
0.258,0.179552808,0.179665453,0.175967579,0.170939273,0.178687173
0.259,0.180280621,0.180391903,0.176659605,0.171624677,0.17940237
0.26,0.1810089,0.181118828,0.177352181,0.172310662,0.180118066
0.261,0.181737643,0.181846224,0.178045303,0.172997224,0.180834259
0.262,0.182466847,0.18257409,0.178738969,0.17368436,0.181550945
0.263,0.18319651,0.183302422,0.179433176,0.174372067,0.182268123
0.264,0.183926627,0.184031217,0.180127922,0.175060343,0.182985788
0.265,0.184657197,0.184760473,0.180823204,0.175749184,0.183703939
0.266,0.185388217,0.185490186,0.181519018,0.176438588,0.184422572
0.267,0.186119683,0.186220355,0.182215363,0.177128552,0.185141686
0.268,0.186851595,0.186950976,0.182912235,0.177819073,0.185861277
0.269,0.187583947,0.187682046,0.183609633,0.178510149,0.186581342
0.27,0.188316739,0.188413564,0.184307553,0.179201776,0.187301879
0.271,0.189049968,0.189145525,0.185005992,0.179893952,0.188022886
0.272,0.18978363,0.189877929,0.185704949,0.180586674,0.188744359
0.273,0.190517723,0.190610771,0.186404421,0.181279939,0.189466297
0.274,0.191252245,0.19134405,0.187104405,0.181973745,0.190188696
0.275,0.191987193,0.192077763,0.187804899,0.18266809,0.190911554
0.276,0.192722565,0.192811907,0.1885059,0.183362969,0.191634869
0.277,0.193458358,0.19354648,0.189207406,0.184058382,0.192358637
0.278,0.19419457,0.194281479,0.189909414,0.184754324,0.193082857
0.279,0.194931197,0.195016902,0.190611922,0.185450795,0.193807527
0.28,0.195668239,0.195752747,0.191314927,0.18614779,0.194532643
0.281,0.196405691,0.19648901,0.192018426,0.186845308,0.195258203
0.282,0.197143553,0.197225689,0.192722419,0.187543345,0.195984205
0.283,0.197881821,0.197962783,0.193426902,0.1882419,0.196710646
0.284,0.198620493,0.198700288,0.194131872,0.18894097,0.197437524
