Vin,180000,150000,128571,112500,100000,90000,81818,75000,69230,64285,60000,56250,52941,50000
-0.1983,178387.5905,148378.4659,126796.656,110472.8221,97664.54686,87330.67059,81025.48502,74206.59754,68393.81829,63398.33402,59053.53167,55236.41636,51852.93459,48838.94579
-0.1982,178403.5607,148392.0768,126808.791,110484.0115,97675.12962,87340.87402,81032.80931,74213.40435,68400.21356,63404.40152,59059.3368,55242.01099,51858.36056,48844.23744
-0.1981,178419.5145,148405.6743,126820.9145,110495.1907,97685.70351,87351.06959,81040.12615,74220.20429,68406.60262,63410.46329,59065.13657,55247.60065,51863.7818,48849.52466
-0.198,178435.452,148419.258,126833.0264,110506.36,97696.26859,87361.25732,81047.43554,74226.99747,68412.98541,63416.51924,59070.93094,55253.18526,51869.19835,48854.80748
-0.1979,178451.373,148432.8281,126845.1266,110517.5191,97706.82478,87371.43715,81054.73749,74233.78377,68419.36185,63422.56935,59076.71991,55258.76482,51874.61018,48860.08585
-0.1978,178467.2774,148446.3845,126857.2153,110528.6681,97717.37203,87381.60902,81062.03191,74240.56324,68425.73203,63428.61366,59082.50343,55264.33932,51880.01726,48865.35976
-0.1977,178483.1653,148459.9272,126869.2921,110539.8069,97727.91036,87391.77293,81069.3188,74247.33581,68432.09588,63434.65207,59088.28153,55269.90873,51885.41958,48870.6292
-0.1976,178499.0366,148473.456,126881.3572,110550.9355,97738.43976,87401.92889,81076.59818,74254.10151,68438.45336,63440.68464,59094.05415,55275.47306,51890.81713,48875.89417
-0.1975,178514.8912,148486.9709,126893.4105,110562.054,97748.96011,87412.07684,81083.86998,74260.86024,68444.80447,63446.71129,59099.82129,55281.03226,51896.20989,48881.15462
-0.1974,178530.7291,148500.4721,126905.452,110573.1621,97759.47143,87422.21673,81091.13414,74267.61206,68451.14917,63452.73203,59105.58294,55286.58634,51901.59784,48886.41056
-0.1973,178546.5502,148513.9592,126917.4816,110584.26,97769.97373,87432.34855,81098.39076,74274.35688,68457.48749,63458.74683,59111.33906,55292.13525,51906.98097,48891.66197
-0.1972,178562.3544,148527.4324,126929.4993,110595.3475,97780.46688,87442.47232,81105.6397,74281.09475,68463.81934,63464.7557,59117.08967,55297.67902,51912.35925,48896.90884
-0.1971,178578.1418,148540.8915,126941.5051,110606.4246,97790.951,87452.58793,81112.88094,74287.82553,68470.14477,63470.75857,59122.83472,55303.2176,51917.73272,48902.15116
-0.197,178593.9122,148554.3366,126953.4989,110617.4914,97801.42588,87462.69541,81120.11453,74294.54937,68476.46369,63476.75545,59128.57417,55308.75098,51923.10128,48907.38888
-0.1969,178609.6656,148567.7676,126965.4806,110628.5477,97811.89163,87472.79473,81127.34038,74301.26606,68482.77614,63482.74635,59134.30809,55314.27916,51928.46496,48912.62202
-0.1968,178625.402,148581.1843,126977.4503,110639.5936,97822.34816,87482.88584,81134.55852,74307.97572,68489.08204,63488.73117,59140.03635,55319.80209,51933.82375,48917.85056
-0.1967,178641.1212,148594.5869,126989.4079,110650.629,97832.79545,87492.96872,81141.76887,74314.67828,68495.38144,63494.70997,59145.75902,55325.31977,51939.17763,48923.07446
-0.1966,178656.8234,148607.9752,127001.3533,110661.6538,97843.23348,87503.04336,81148.97139,74321.37367,68501.67426,63500.68269,59151.47602,55330.83219,51944.52657,48928.29376
-0.1965,178672.5082,148621.3494,127013.2866,110672.6681,97853.66221,87513.10971,81156.1662,74328.06195,68507.96052,63506.64935,59157.18738,55336.33932,51949.87057,48933.50838
-0.1964,178688.1759,148634.709,127025.2076,110683.6718,97864.0816,87523.16776,81163.35309,74334.74305,68514.24015,63512.60988,59162.89307,55341.84117,51955.20958,48938.71836
