R_gds_inst (Vctrl=0) X,R_gds_inst (Vctrl=0) Y,R_gds_inst (Vctrl=0.1) X,R_gds_inst (Vctrl=0.1) Y,R_gds_inst (Vctrl=0.2) X,R_gds_inst (Vctrl=0.2) Y,R_gds_inst (Vctrl=0.3) X,R_gds_inst (Vctrl=0.3) Y,R_gds_inst (Vctrl=0.4) X,R_gds_inst (Vctrl=0.4) Y,R_gds_inst (Vctrl=0.5) X,R_gds_inst (Vctrl=0.5) Y,R_gds_inst (Vctrl=0.05) X,R_gds_inst (Vctrl=0.05) Y,R_gds_inst (Vctrl=0.15) X,R_gds_inst (Vctrl=0.15) Y,R_gds_inst (Vctrl=0.25) X,R_gds_inst (Vctrl=0.25) Y,R_gds_inst (Vctrl=0.35) X,R_gds_inst (Vctrl=0.35) Y,R_gds_inst (Vctrl=0.45) X,R_gds_inst (Vctrl=0.45) Y
-0.167,182653.8293,-0.167,162395.9349,-0.167,138374.1268,-0.167,109731.5864,-0.167,75849.87557,-0.167,36898.05675,-0.167,172943.4912,-0.167,150909.17,-0.167,124681.0458,-0.167,93458.34821,-0.167,56965.79549
-0.166,182743.9225,-0.166,162477.6576,-0.166,138447.7711,-0.166,109799.3258,-0.166,75919.19046,-0.166,36992.3987,-0.166,173029.4207,-0.166,150986.7423,-0.166,124751.2599,-0.166,93525.34174,-0.166,57042.88513
-0.165,182831.4389,-0.165,162557.0866,-0.165,138519.4558,-0.165,109865.4994,-0.165,75987.39073,-0.165,37086.0966,-0.165,173112.9092,-0.165,151062.1809,-0.165,124819.7034,-0.165,93590.98911,-0.165,57119.09657
-0.164,182916.3625,-0.164,162634.2076,-0.164,138589.1682,-0.164,109930.0962,-0.164,76054.46669,-0.164,37179.14112,-0.164,173193.9416,-0.164,151135.4723,-0.164,124886.3646,-0.164,93655.28006,-0.164,57194.4204
-0.163,182998.6787,-0.163,162709.0074,-0.163,138656.8968,-0.163,109993.1062,-0.163,76120.40928,-0.163,37271.52312,-0.163,173272.504,-0.163,151206.6043,-0.163,124951.2328,-0.163,93718.20516,-0.163,57268.84765
-0.162,183078.3749,-0.162,162781.4745,-0.162,138722.6313,-0.162,110054.5203,-0.162,76185.21007,-0.162,37363.23368,-0.162,173348.5842,-0.162,151275.5658,-0.162,125014.2982,-0.162,93779.75575,-0.162,57342.36977
-0.161,183155.4398,-0.161,162851.5988,-0.161,138786.3626,-0.161,110114.3303,-0.161,76248.86128,-0.161,37454.26411,-0.161,173422.1716,-0.161,151342.3473,-0.161,125075.5523,-0.161,93839.92401,-0.161,57414.97869
-0.16,183229.8637,-0.16,162919.3716,-0.16,138848.0831,-0.16,110172.5292,-0.16,76311.35578,-0.16,37544.60596,-0.16,173493.257,-0.16,151406.9407,-0.16,125134.9878,-0.16,93898.70292,-0.16,57486.66679
-0.159,183301.639,-0.159,162984.7859,-0.159,138907.7861,-0.159,110229.1108,-0.159,76372.68711,-0.159,37634.25101,-0.159,173561.833,-0.159,151469.339,-0.159,125192.5983,-0.159,93956.08633,-0.159,57557.42692
-0.158,183370.7594,-0.158,163047.8358,-0.158,138965.4665,-0.158,110284.07,-0.158,76432.84945,-0.158,37723.19129,-0.158,173627.8937,-0.158,151529.5369,-0.158,125248.3788,-0.158,94012.06889,-0.158,57627.25239
-0.157,183437.2204,-0.157,163108.5174,-0.157,139021.1202,-0.157,110337.4026,-0.157,76491.83769,-0.157,37811.41909,-0.157,173691.4346,-0.157,151587.5304,-0.157,125302.3251,-0.157,94066.64616,-0.157,57696.13701
-0.156,183501.0193,-0.156,163166.8279,-0.156,139074.7447,-0.156,110389.1056,-0.156,76549.64739,-0.156,37898.92699,-0.156,173752.4533,-0.156,151643.3168,-0.156,125354.4346,-0.156,94119.8145,-0.156,57764.07509
